,,Paper associated ,Affiliation code,Afilliation name -,Intitute ,Country ,Discipline,Note (if applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,74,"School of Veterinary Medicine, University of California Davis, Davis, CA, USA",University of California Davis,United States,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,21,"Department of Infectious Diseases, University of Georgia, Athens, GA, USA.",University of Georgia,United States,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,17,"Department of Environmental Science and Technology, University of Maryland, College Park, MD, USA",University of Maryland,United States,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,79,"Department of Biology, University of Massachusetts, Boston, MA, USA.",University of Massachusetts,United States,STEM-Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,75,"Department of Veterinary and Biomedical Sciences, University of Minnesota, St. Paul, MN, USA.",University of Minnesota,United States,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,54,"U.S. Geological Survey, San Francisco Bay Estuary Field Station, Western Ecological Research Center, Moffett Field, CA, USA.",Western Ecological Research Center - California,United States,STEM-Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,20,"U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Dixon, CA, USA",Western Ecological Research Center -Dixon,United States,STEM-Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p6,69,Matrouh University,Matrouh University ,Egypt,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p6,68,Royal Holloway University of London,Royal Holloway University of London,United Kingdom,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p7,24,"Sustainability Research Center & PhD in Conservation Medicine, Life Science Faculty, Universidad Andrés Bello, República 440, Santiago, Chile",Universidad Andrés Bello ,Chile,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p7,25,"Núcleo de Ciencias Aplicadas en Ciencias Veterinarias y Agronómicas, Facultad de
  Medicina Veterinaria y Agronomía, Universidad de las Américas, Echaurren 140, Santiago, Chile",Universidad de las América ,Chile,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p7,26,"MIVEGEC, IRD, CNRS, Université de Montpellier, Montpellier, France.",Université de Montpellier,France,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p8,70,"Ecole supérieure de Technologie de Lâayoune, Quartier 24 Mars, Lâayoune 3007, Morocco",Ecole supérieure de Technologie de Lâayoune,Morocco,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p8,31,"Division of Pharmacy and Veterinary Inputs, Food Safety National Office (ONSSA), Rue Ikhlas Cym,
PB 4509 Akkari, Rabat 10050, Morocco",Food Safety National Office (ONSSA),Morocco,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p8,29,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy",Istituto Zooprofilattico Sperimentale delle Venezie,Italy,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p8,27,"Biodiversity, Ecology and Genome Laboratory, Faculty of Sciences, Mohammed V University in Rabat,
4 Avenue Ibn Battouta, Rabat 10106, Morocco;",Mohammed V University in Rabat,Morocco,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p8,28,"Mouahid’s Veterinary Clinic, Temara 12000, Morocco",Mouahid’s Veterinary Clinic,Morocco,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p8,30,"Immunology and Biodiversity Laboratory, Faculty of Science Ain chock, Hassan II University of Casablanca, Casablanca 20100, Morocco",University of Casablanca,Morocco,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p9,32,"State Key Laboratory of Veterinary Biotechnology and National Data Center of Animal Infectious Diseases, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, China",Harbin Veterinary Research Institute,China,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,105,"College of Veterinary Medicine and Institute of Veterinary Science, Kangwon National University, Chuncheon, Republic of Korea",Kangwon National University,South Korea,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
