,Paper associated ,Affiliation code,Afilliation name -,Intitute ,Country ,Discipline
186,P5,54,"U.S. Geological Survey, San Francisco Bay Estuary Field Station, Western Ecological Research Center, Moffett Field, CA, USA.",U.S. Geological Survey,United States of America,STEM-Ecology
187,P5,154,"Department of Infectious Diseases, St. Jude Children's Research Hospital, Memphis, TN, USA.",St. Jude Children's Research Hospital,United States of America,PH-MED
188,P5,154,"Department of Infectious Diseases, St. Jude Children's Research Hospital, Memphis, TN, USA.",St. Jude Children's Research Hospital,United States of America,PH-MED
189,P5,160,"U.S. Geological Survey, Eastern Ecological Science Center, Laurel, MD, USA. dprosser@usgs.gov.",U.S. Geological Survey,United States,STEM-Ecology
190,p19,161,"Department of Disease Control and Epidemiology, National Veterinary Institute, 751 89 Uppsala, Sweden.;Department of Clinical Sciences, Swedish University of Agricultural Sciences, 750 07 Uppsala, Sweden.",National Veterinary Institute,Sweden,PH-EPI
191,p19,162,"Department of Pathology and Wildlife Diseases, National Veterinary Institute, 751 89 Uppsala, Sweden.",National Veterinary Institute,Sweden,PH-VET
192,p19,163,"Department of Microbiology, National Veterinary Institute, 751 89 Uppsala, Sweden.",National Veterinary Institute,Sweden,STEM
193,p19,164,"Department of Disease Control and Epidemiology, National Veterinary Institute, 751 89 Uppsala, Sweden.",National Veterinary Institute,Sweden,PH-EPI
194,p19,161,"Department of Pathology and Wildlife Diseases, National Veterinary Institute, 751 89 Uppsala, Sweden.",National Veterinary Institute,Sweden,PH-VET
195,p19,165,"Department of Clinical Sciences, Swedish University of Agricultural Sciences, 750 07 Uppsala, Sweden.;Department of Animal Health and Antimicrobial Strategies, National Veterinary Institute, 751 89 Uppsala, Sweden.","Swedish University of Agricultural Sciences, National Veterinary Institute",Sweden,PH-VET
196,p15,166,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.","IHAP, Université de Toulouse, INRAE, ENVT",France,STEM-Biology
197,p15,167,"Department of Biosystems Science and Engineering, ETH Zürich, Mattenstrasse, Basel, Switzerland.;Swiss Institute of Bioinformatics (SIB), Lausanne, Switzerland.",ETH Zürich and Swiss Institute of Bioinformatics (SIB),Switzerland,STEM-Bioinformatics
198,p15,168,"Vaccine and Infectious Disease, Fred Hutchinson Cancer Research Centre, Seattle, Washington, USA.",Fred Hutchinson Cancer Research Centre,United States of America,PH-MED
199,p15,169,"French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-Plouzané-Niort, Ploufragan, France.",ANSES Laboratory of Ploufragan-Plouzané-Niort,France,STEM-Biology
200,p15,168,"French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-Plouzané-Niort, Ploufragan, France.","French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-Plouzané-Niort",France,SHAPE
201,p15,168,"French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-Plouzané-Niort, Ploufragan, France.",ANSES Laboratory of Ploufragan-Plouzané-Niort,France,SHAPE
202,p15,168,"French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-Plouzané-Niort, Ploufragan, France.","French Agency for Food, Environmental and Occupational Health & Safety (ANSES)",France,SHAPE
203,p15,168,"French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-Plouzané-Niort, Ploufragan, France.","French Agency for Food, Environmental and Occupational Health & Safety (ANSES)",France,SHAPE
204,p15,168,"French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-Plouzané-Niort, Ploufragan, France.",ANSES Laboratory of Ploufragan-Plouzané-Niort,France,SHAPE
205,p15,168,"French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-Plouzané-Niort, Ploufragan, France.",ANSES Laboratory of Ploufragan-Plouzané-Niort,France,SHAPE
206,p15,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.","Université de Toulouse, INRAE, ENVT",France,STEM-Biology
207,p15,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.","IHAP, Université de Toulouse, INRAE, ENVT",France,SHAPE
208,p15,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.","IHAP, Université de Toulouse, INRAE, ENVT.",France,STEM
209,P38,170,"ICMR-National Institute of Virology, Microbial Containment Complex, 130/1, Sus Road, Pashan, Pune, 411021, India.",ICMR-National Institute of Virology,India,PH-MED
210,P38,171,"ICMR-National Institute of Virology, Microbial Containment Complex, 130/1, Sus Road, Pashan, Pune, 411021, India. Electronic address: shaileshpawarniv@gmail.com.",ICMR-National Institute of Virology,India,PH-EPI
211,P38,169,"ICMR-National Institute of Virology, Microbial Containment Complex, 130/1, Sus Road, Pashan, Pune, 411021, India.",ICMR-National Institute of Virology,India,PH-MED
212,P38,169,"ICMR-National Institute of Virology, Microbial Containment Complex, 130/1, Sus Road, Pashan, Pune, 411021, India.",ICMR-National Institute of Virology,India,PH-EPI
213,P38,172,"ICMR-National Institute of Virology, 20-A, Dr. Babasaheb Ambedkar Road, Pune, 411001, India.",ICMR-National Institute of Virology,India,PH-MED
214,P38,173,"Disease Investigation Section, Western Regional Disease Diagnostic Laboratory, Aundh, Pune, 411007, India.",Western Regional Disease Diagnostic Laboratory,India,PH-MED
215,P38,169,"ICMR-National Institute of Virology, Microbial Containment Complex, 130/1, Sus Road, Pashan, Pune, 411021, India.",ICMR-National Institute of Virology,India,PH-MED
216,p23,174,"China Animal Health and Epidemiology Centre, Qingdao, China.;School of Veterinary Medicine, Murdoch University, Perth, Australia.",China Animal Health and Epidemiology Centre; Murdoch University,China; Australia.,PH-VET
217,p23,175,"Royal Veterinary College, University of London, Hatfield, UK.","Royal Veterinary College, University of London",United Kingdom,PH-VET
218,p23,176,"China Animal Health and Epidemiology Centre, Qingdao, China.",China Animal Health and Epidemiology Centre,China,PH-EPI
219,p23,177,"Guangxi Centre of Animal Disease Prevention and Control, Nanning, China.",Guangxi Centre of Animal Disease Prevention and Control,China,STEM-Biology
220,p23,175,"China Animal Health and Epidemiology Centre, Qingdao, China.",China Animal Health and Epidemiology Centre,China,PH-EPI
221,p23,175,"China Animal Health and Epidemiology Centre, Qingdao, China.",China Animal Health and Epidemiology Centre,China,PH-EPI
222,p23,178,"China Australia Joint Laboratory for Animal Health Big Data Analytics, College of Animal Science and Technology, Zhejiang Agricultural and Forestry University, Hangzhou, China.",Zhejiang Agricultural and Forestry University,China,STEM
223,p23,173,"China Animal Health and Epidemiology Centre, Qingdao, China.;School of Veterinary Medicine, Murdoch University, Perth, Australia.",China Animal Health and Epidemiology Centre; Murdoch University,"China, Australia",PH-VET
224,p23,179,"School of Veterinary Medicine, Murdoch University, Perth, Australia.;Hubei International Scientific and Technological Cooperation Base of Veterinary Epidemiology, Huazhong Agricultural University, Wuhan, China.","Murdoch University, Huazhong Agricultural University",Australia; China,PH-VET
225,p23,175,"China Animal Health and Epidemiology Centre, Qingdao, China.",China Animal Health and Epidemiology Centre,China,PH-EPI
226,p23,180,"School of Veterinary Medicine, Murdoch University, Perth, Australia.;Centre for Biosecurity and One Health, Harry Butler Institute, Murdoch University, Perth, Australia.",Murdoch University,Australia,"PH-VET, STEM"
227,P6,181,"Department of Hygiene and Zoonosis, Faculty of Veterinary Medicine, University of Sadat City, Menofia, Sadat City, 32897, Egypt. yumna.elsobky@vet.usc.edu.eg.",University of Sadat City,Egypt,PH-VET
228,P6,182,"College of Agriculture, Environment and Nutrition Sciences, Tuskegee University, Tuskegee, AL, USA.;Astronomy and Meteorology Department, Faculty of Science, Al-Azhar University, Cairo, Egypt.",Tuskegee University,United States,STEM
229,P6,183,"Department of Animal Medicine and Infectious Diseases, Faculty of Veterinary Medicine, University of Sadat City, Sadat City, Menofia, 32897, Egypt.",University of Sadat City,Egypt,PH-VET
230,P6,184,"Department of Hygiene and Zoonosis, Faculty of Veterinary Medicine, University of Sadat City, Menofia, Sadat City, 32897, Egypt.",University of Sadat City,Egypt,PH-VET
231,P6,185,"Department of Biomedical Sciences, College of Veterinary Medicine, Tuskegee University, Tuskegee, AL, USA.",Tuskegee University,United States,STEM-Biology
232,P6,186,"Global Academy of Agriculture and Food Security, The Royal (Dick) School of Veterinary Studies, University of Edinburgh, Easter Bush Campus, Midlothian, EH25 9RG, UK.;Department of Animal Hygiene and Preventive Medicine, Faculty of Veterinary Medicine, Kafrelsheikh University, Kafrelsheikh, Egypt.","Global Academy of Agriculture and Food Security, The Royal (Dick) School of Veterinary Studies, University of Edinburgh; Department of Animal Hygiene and Preventive Medicine, Faculty of Veterinary Medicine, Kafrelsheikh University","United Kingdom, Egypt",PH-VET
233,P39,187,"College of Veterinary Medicine, South China Agricultural University, Guangzhou 510642, China.;Key Laboratory of Zoonosis Control and Prevention of Guangdong Province, South China Agricultural University, Guangzhou 510642, China.;National and Regional Joint Engineering Laboratory for Medicament of Zoonosis Prevention and Control, South China Agricultural University, Guangzhou 510642, China.","College of Veterinary Medicine, South China Agricultural University; Key Laboratory of Zoonosis Control and Prevention of Guangdong Province, South China Agricultural University; National and Regional Joint Engineering Laboratory for Medicament of Zoonosis Prevention and Control, South China Agricultural University",China,PH-VET
234,P39,186,"College of Veterinary Medicine, South China Agricultural University, Guangzhou 510642, China.;Key Laboratory of Zoonosis Control and Prevention of Guangdong Province, South China Agricultural University, Guangzhou 510642, China.;National and Regional Joint Engineering Laboratory for Medicament of Zoonosis Prevention and Control, South China Agricultural University, Guangzhou 510642, China.","College of Veterinary Medicine, South China Agricultural University",China,PH-VET
235,P39,186,"College of Veterinary Medicine, South China Agricultural University, Guangzhou 510642, China.;Key Laboratory of Zoonosis Control and Prevention of Guangdong Province, South China Agricultural University, Guangzhou 510642, China.;National and Regional Joint Engineering Laboratory for Medicament of Zoonosis Prevention and Control, South China Agricultural University, Guangzhou 510642, China.",South China Agricultural University,China,PH-VET
236,P39,186,"College of Veterinary Medicine, South China Agricultural University, Guangzhou 510642, China.;Key Laboratory of Zoonosis Control and Prevention of Guangdong Province, South China Agricultural University, Guangzhou 510642, China.;National and Regional Joint Engineering Laboratory for Medicament of Zoonosis Prevention and Control, South China Agricultural University, Guangzhou 510642, China.",South China Agricultural University,China,PH-VET
237,P39,188,"Institute of Animal Health, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.;Key Laboratory for Prevention and Control of Avian Influenza and Other Major Poultry Diseases, Ministry of Agriculture and Rural Affairs, Guangzhou 510640, China.","Institute of Animal Health, Guangdong Academy of Agricultural Sciences",China,STEM-Biology
238,P39,186,"College of Veterinary Medicine, South China Agricultural University, Guangzhou 510642, China.;Key Laboratory of Zoonosis Control and Prevention of Guangdong Province, South China Agricultural University, Guangzhou 510642, China.;National and Regional Joint Engineering Laboratory for Medicament of Zoonosis Prevention and Control, South China Agricultural University, Guangzhou 510642, China.",South China Agricultural University,China,PH-VET
239,P40,189,"School of Public Health, Fudan University, Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
240,P40,188,"School of Public Health, Fudan University, Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
241,P40,190,"Division of Infectious Disease, Key Laboratory of Surveillance and Early-warning on Infectious Disease, Chinese Center for Disease Control and Prevention, Beijing, China.",Chinese Center for Disease Control and Prevention,China,PH-EPI
242,P40,188,"School of Public Health, Fudan University, Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
243,P40,188,"School of Public Health, Fudan University, Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
244,P41,191,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Ecology
245,P41,192,"State Key Laboratory of Veterinary Biotechnology, Chinese Academy of Agricultural Sciences, Harbin Veterinary Research Institute, Harbin 150069, China.","Chinese Academy of Agricultural Sciences, Harbin Veterinary Research Institute",China,PH-VET
246,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Ecology
247,P41,191,"State Key Laboratory of Veterinary Biotechnology, Chinese Academy of Agricultural Sciences, Harbin Veterinary Research Institute, Harbin 150069, China.",Chinese Academy of Agricultural Sciences,China,PH-VET
248,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Ecology
249,P41,191,"State Key Laboratory of Veterinary Biotechnology, Chinese Academy of Agricultural Sciences, Harbin Veterinary Research Institute, Harbin 150069, China.",Chinese Academy of Agricultural Sciences,China,PH-VET
250,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Ecology
251,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Ecology
252,P41,193,"Biological Disaster Control and Prevention Center, National Forestry and Grassland Administration, Shenyang 110034, China.",National Forestry and Grassland Administration,China,STEM-Biology
253,P41,192,"Biological Disaster Control and Prevention Center, National Forestry and Grassland Administration, Shenyang 110034, China.",National Forestry and Grassland Administration,China,STEM-Biology
254,P41,192,"Biological Disaster Control and Prevention Center, National Forestry and Grassland Administration, Shenyang 110034, China.",National Forestry and Grassland Administration,China,STEM-Biology
255,P41,192,"Biological Disaster Control and Prevention Center, National Forestry and Grassland Administration, Shenyang 110034, China.","Biological Disaster Control and Prevention Center, National Forestry and Grassland Administration",China,STEM-Biology
256,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Ecology
257,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Ecology
258,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Ecology
259,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM
260,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Biology
261,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Ecology
262,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Ecology
263,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Ecology
264,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Ecology
265,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Biology
266,P41,194,"Siberian Tiger Park, Harbin 150028, China.",Siberian Tiger Park,China,Unknown.
267,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM
268,P41,191,"State Key Laboratory of Veterinary Biotechnology, Chinese Academy of Agricultural Sciences, Harbin Veterinary Research Institute, Harbin 150069, China.",Harbin Veterinary Research Institute,China,PH-VET
269,P41,190,"College of Wildlife and Protected Area, Northeast Forestry University, Harbin 150040, China.",Northeast Forestry University,China,STEM-Ecology
270,P33,106,,"I'm sorry, but you haven't provided an affiliation for me to extract the institute from. Could you please provide the affiliation?","I'm sorry, but you haven't provided the affiliation in your question. Please provide the necessary information for me to extract the country.","There is no information provided about the affiliation, so it is not possible to determine the discipline."
271,P33,106,,It seems like you haven't provided the affiliation for which you are looking for the institute. Please provide the affiliation so that I can assist you further.,"I'm sorry, but you haven't provided an affiliation for me to extract the country from. Could you please provide the affiliation so I can assist you further?","There is no information given about the affiliation, so the discipline cannot be determined."
272,P33,106,,"Sorry, you haven't provided the affiliation for me to extract the institute from.","I'm sorry, but I need an affiliation to provide you with the country.","I'm sorry, but you did not provide any affiliation. Please provide the affiliation so I can determine the discipline."
273,P33,106,,"I'm sorry, but you haven't provided any affiliation information. Please provide the affiliation so that I can give you the proper answer.","I'm sorry, but you haven't provided me with an affiliation to determine the country. Please provide more information.","I'm sorry, but you didn't provide me with any affiliation to determine the discipline. Please provide the affiliation so I can help you further."
274,P33,106,,"I'm sorry, but you haven't provided the affiliation in your question. Could you please provide the affiliation so that I can assist you?","I'm sorry, but you haven't provided any affiliation. Please provide the affiliation so I can determine the country.","Unfortunately, you have not provided an affiliation for me to determine the discipline. Could you please provide the affiliation so that I can assist you further?"
275,P33,106,,"Sorry, but you haven't provided any affiliation. Can you please provide more information?","Sorry, but without a specific affiliation provided, I am unable to determine the country.",I cannot determine the discipline without knowing the affiliation. Please provide the affiliation.
276,P33,106,,Unknown,"I'm sorry, but you didn't provide the affiliation for me to extract the country from. Please provide the relevant information.",Cannot determine the discipline without the affiliation information.
277,P33,106,,"I'm sorry, but you need to provide the affiliation for me to determine the institute.","I'm sorry, but you did not provide any affiliation information for me to extract the country from.",I cannot determine the discipline without the affiliation. Please provide the affiliation.
278,P33,106,,It appears that you did not provide any affiliation information. Please provide the affiliation in order for me to assist you.,"Sorry, but you didn't provide the affiliation. Please include the affiliation so that I can help you identify the country.","There is no given affiliation, so the discipline cannot be determined."
279,P33,106,,"I'm sorry, but you haven't provided the affiliation. Please provide the affiliation so I can provide you with the answer.","Sorry, can you please provide the affiliation from which you want to extract the country?","Unfortunately, you did not provide any affiliation. Please provide the affiliation so that I can determine the discipline associated with it."
280,P33,106,,"Sorry, but I need more information.","Sorry, but without any affiliation provided, I cannot determine the country. Can you please provide more information?",It is not possible to determine the discipline without an affiliation provided. Please provide the affiliation.
281,P33,106,,"Sorry, but without the affiliation, I am unable to determine the institute. Could you please provide more information?","I'm sorry, but there is no information about the affiliation provided.","I am sorry, but without the affiliation information, I cannot determine the discipline."
282,P33,106,,"Sorry, but you haven't provided an affiliation for me to extract the institute from. Please provide an affiliation so I can assist you further.","I'm sorry, but there is no affiliation provided in your question. Please provide the affiliation so that I can determine the country.","Sorry, I cannot provide the discipline without the affiliation. Please provide the affiliation associated with the discipline."
283,P33,106,,I can't answer without the affiliation.,"I'm sorry, but I could not find any affiliation information. Can you please provide the affiliation?",This question is incomplete as there is no affiliation mentioned. Could you please provide the affiliation?
284,P33,106,,This question is incomplete. Please provide the full affiliation for me to provide the correct answer.,"I'm sorry, but I cannot answer your question as you didn't provide any affiliation.","I'm sorry, but you haven't provided any affiliation for me to determine the discipline. Could you please provide the affiliation so that I can assist you further?"
285,P33,106,,"I'm sorry, but you did not provide an affiliation for me to extract the institute from. Could you please provide the affiliation?","Sorry, I need more information to answer your question. Could you please provide the affiliation details?","I'm sorry, but you haven't provided me with an affiliation, so I cannot determine the discipline."
286,P12,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.",Université de Toulouse,France,STEM
287,P12,195,"Agence Nationale de Sécurité Sanitaire de l'Alimentation, de l'Environnement et du Travail, Université Paris-Est, Maisons-Alfort, France.","Agence Nationale de Sécurité Sanitaire de l'Alimentation, de l'Environnement et du Travail, Université Paris-Est",France,PH-MED
288,P12,196,"Agence Nationale de Sécurité Sanitaire de l'Alimentation, de l'Environnement et du Travail, Ploufragan, France.","Agence Nationale de Sécurité Sanitaire de l'Alimentation, de l'Environnement et du Travail",France,PH-EPI
289,P12,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.","IHAP, Université de Toulouse, INRAE, ENVT",France,STEM-Biology
290,P12,195,"Agence Nationale de Sécurité Sanitaire de l'Alimentation, de l'Environnement et du Travail, Ploufragan, France.","Agence Nationale de Sécurité Sanitaire de l'Alimentation, de l'Environnement et du Travail",France,PH-VET
291,P12,195,"Agence Nationale de Sécurité Sanitaire de l'Alimentation, de l'Environnement et du Travail, Ploufragan, France.","Agence Nationale de Sécurité Sanitaire de l'Alimentation, de l'Environnement et du Travail",France,PH-EPI
292,P12,197,"Direction Générale de l'Alimentation, Paris, France.",Direction Générale de l'Alimentation,France,SHAPE
293,P12,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.","IHAP, Université de Toulouse, INRAE, ENVT",France,STEM
294,P12,198,"Department of Biosystems Science and Engineering, ETH Zurich, Basel, Switzerland.;Swiss Institute of Bioinformatics, Lausanne, Switzerland.",ETH Zurich; Swiss Institute of Bioinformatics,Switzerland,STEM-Bioinformatics
295,P12,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.","IHAP, Université de Toulouse, INRAE, ENVT",France,STEM
296,P12,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.","IHAP, Université de Toulouse",France,SHAPE
297,P12,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.","IHAP, Université de Toulouse, INRAE, ENVT",France,STEM-Biology
298,P12,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.","IHAP, Université de Toulouse, INRAE, ENVT",France,SHAPE
299,P42,106,,"I'm sorry, but I need more information. Please provide the complete affiliation so that I can find the institute for you.",I need the affiliation in order to determine the country.,This question cannot be answered as the affiliation is not provided.
300,P42,106,,"Sorry, I cannot provide an answer without knowing the affiliation. Please provide the affiliation from which you want to extract the institute name.",The country is missing in the given question.,I need the affiliation to determine the discipline. Please provide the affiliation.
301,P42,106,,"Sorry, there seems to be missing information. Could you please provide the complete affiliation so I can help you identify the institute?","I'm sorry, but you haven't provided any affiliation for me to extract the country from. Could you please provide the affiliation so that I can give you the answer?","I'm sorry, but you haven't provided the affiliation for me to determine the discipline. Could you please provide the affiliation?"
302,P42,106,,It seems like you forgot to provide the affiliation. Please provide the affiliation so that I can help you identify the institute.,"Sorry, but I need more information in order to provide you with the country from the affiliation. Please provide me with the necessary information.",There is no affiliation provided to determine the discipline.
303,P42,106,,"I'm sorry, but you haven't provided the affiliation for me to extract the institute from. Please provide the affiliation for me to give you the answer.","Sorry, I need more information to answer your question. Please provide the affiliation from which you want to extract the country.","There is no affiliation mentioned, so it's not possible to determine the discipline."
304,P42,106,,I need the affiliation information to determine the institute.,"Sorry, I need the affiliation in order to determine the country. Please provide the affiliation.","I'm sorry, but you haven't provided any affiliation for me to determine the discipline. Could you please provide the affiliation?"
305,P42,106,,"I'm sorry, but you haven't provided the affiliation for me to determine the institute. Could you please provide the affiliation?","Sorry, but you didn't provide any affiliation for me to extract the country from.",Cannot be determined without the provided affiliation.
306,P42,106,,"I'm sorry, but you didn't provide any affiliation for me to identify the institute. Could you please provide the affiliation so that I can give you the answer?","Sorry, but you forgot to provide the affiliation. Could you please provide the affiliation so that I can provide you with the country?","There is no affiliation mentioned in the question. Without any information about the affiliation, it is not possible to determine the discipline."
307,P42,106,,"I am sorry, but I cannot answer the question without the affiliation information. Please provide the affiliation.","I'm sorry, but you haven't provided any affiliation for me to extract the country from. Could you please provide the affiliation for me to assist you?",I cannot determine the discipline without the affiliation information.
308,P42,106,,"I am sorry, but you have not provided the affiliation details. Please provide the affiliation so that I can give you the answer.","I'm sorry, but you haven't provided an affiliation for me to extract the country from. Please provide the affiliation and I will be happy to assist you.",Cannot determine the discipline from the given affiliation.
309,P42,106,,I need the affiliation in order to provide the answer.,"Sorry, without the affiliation provided, I cannot determine the country.",The discipline is not provided.
310,P42,106,,unknown,"Sorry, but you didn't provide any affiliation information. Please include the affiliation for me to determine the country.","There is no affiliation provided, so the discipline cannot be determined."
311,P42,106,,"Sorry, but I need more information to provide an answer.","Sorry, but you haven't provided an affiliation for me to extract the country from.",I cannot determine the discipline without the affiliation information. Can you please provide the affiliation?
312,P42,106,,I need the affiliation to provide the institute.,"Sorry, but I need more information. Could you please provide the affiliation?","Unfortunately, you haven't provided the affiliation for me to determine the discipline. Please provide the affiliation so that I can assist you further."
313,P11,199,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
314,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
315,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
316,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
317,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
318,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.","Fudan University, Shanghai, China",China,PH-EPI
319,P11,200,"Jinshan District Center for Disease Control and Prevention, Shanghai, China.",Jinshan District Center for Disease Control and Prevention,China,PH-EPI
320,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
321,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
322,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
323,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
324,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
325,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
326,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.","Fudan University, Shanghai, China",China,PH-EPI
327,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
328,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
329,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
330,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
331,P11,201,"University of Sydney School of Veterinary Science, Camden, NSW, Australia.",University of Sydney School of Veterinary Science,Australia,PH-VET
332,P11,198,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China.;Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China.",Fudan University,China,PH-EPI
333,P3,202,"College of Geoscience and Surveying Engineering, China University of Mining & Technology, Beijing, 100083, China. chenw@cumtb.edu.cn.",China University of Mining & Technology,China,STEM
334,P3,203,"College of Geoscience and Surveying Engineering, China University of Mining & Technology, Beijing, 100083, China.",China University of Mining & Technology,China,STEM
