,,DOI,Paper associated ,Author,Affiliation code 1,Afilliation name 1,Affiliation code 2,Affiliation name 2,Corresponding author  ,First author,Afilliation code 3,Affiliation name 3,Country ,
,,,p16,Maurice E Pitesky,53,"University of California Davis, School of Veterinary Medicine, Poultry Health and Food Safety Epidemiology, One Shields Avenue, Davis, California, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p16,Austen A Lorenz,49,"Geological Survey, Western Ecological Research Center, Dixon Field Station, Suite D Dixon, California, USA ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p16,Madeline M McCuen,49,"Geological Survey, Western Ecological Research Center, Dixon Field Station, Suite D Dixon, California, USA ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p16,Overton Cory T,49,"Geological Survey, Western Ecological Research Center, Dixon Field Station, Suite D Dixon, California, USA ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p16,Joshua T Ackerman,49,"Geological Survey, Western Ecological Research Center, Dixon Field Station, Suite D Dixon, California, USA ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p16,Susan E. W. De La Cruz,54,"Western Ecological Research Center, San Francisco Bay Estuary Field Station, Moffett Field, California, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p16,Michael L Casazza ,49,"Geological Survey, Western Ecological Research Center, Dixon Field Station, Suite D Dixon, California, USA ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,DOI 10.3389/fmicb.2023.1128286,p17,Tengfei Liu,55,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p17,Shumin Xie ,55,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p17, Zhiyi Yang,55,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p17,Aimin Zha,55,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p17,Yuting Shi,55,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p17,Lingyu Xu,55,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p17,Junhong Chen,55,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p17,Wenbao Qi ,56,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China",57,"Key Laboratory of Zoonosis, Key Laboratory of Animal Vaccine Development, Ministry of Agriculture and Rural Affairs, Guangzhou, China, ",no,no,58,"Key Laboratory of Zoonoses Prevention and Control of Guangdong Province, Guangzhou, China ",#VALUE!,
,,,p17,Ming Liao,56,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China",57,"Key Laboratory of Zoonosis, Key Laboratory of Animal Vaccine Development, Ministry of Agriculture and Rural Affairs, Guangzhou, China, ",yes,no,58,"Key Laboratory of Zoonoses Prevention and Control of Guangdong Province, Guangzhou, China ",#VALUE!,
,,,p17,Weixin Jia,56,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China",57,"Key Laboratory of Zoonosis, Key Laboratory of Animal Vaccine Development, Ministry of Agriculture and Rural Affairs, Guangzhou, China, ",yes,no,58,"Key Laboratory of Zoonoses Prevention and Control of Guangdong Province, Guangzhou, China ",#VALUE!,
,,https://doi.org/10.1016/j.onehlt.2023.100511,p18,Yanxia Sun ,58,"School of Population Medicine and Public Health, Chinese Academy of Medical Science & Peking Union Medical College, Beijing, China",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p18,Ting Zhang,58,"School of Population Medicine and Public Health, Chinese Academy of Medical Science & Peking Union Medical College, Beijing, China",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p18,Xiang Zhao,59,"Department of Influenza, WHO Collaborating Centre for Reference and Research on Influenza, Chinese National Influenza Centre, National Institute for Viral Disease Control and Prevention, Chinese Centre for Disease Control and Prevention, Beijing, China ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p18,Jie Qian ,58,"School of Population Medicine and Public Health, Chinese Academy of Medical Science & Peking Union Medical College, Beijing, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p18,Mingyue Jiang,58,"School of Population Medicine and Public Health, Chinese Academy of Medical Science & Peking Union Medical College, Beijing, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p18,Mengmeng Jia,58,"School of Population Medicine and Public Health, Chinese Academy of Medical Science & Peking Union Medical College, Beijing, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p18,Yunshao Xu,58,"School of Population Medicine and Public Health, Chinese Academy of Medical Science & Peking Union Medical College, Beijing, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p18,Weizhong Yang,58,"School of Population Medicine and Public Health, Chinese Academy of Medical Science & Peking Union Medical College, Beijing, China",N/A,N/A,yes,no,N/A,N/A,#VALUE!,
,,,p18,Luzhao Feng,58,"School of Population Medicine and Public Health, Chinese Academy of Medical Science & Peking Union Medical College, Beijing, China",N/A,N/A,yes,no,N/A,N/A,#VALUE!,
,,https://doi.org/10.3390/vetsci9070344,p19,Malin Grant ,60,"Department of Disease Control and Epidemiology, National Veterinary Institute, 751 89 Uppsala, Sweden",61,"Department of Clinical Sciences, Swedish University of Agricultural Sciences, 750 07 Uppsala, Sweden",no,yes,N/A,N/A,#VALUE!,
,,,p19,Caroline Brîjer ,62,"Department of Pathology and Wildlife Diseases, National Veterinary Institute, 751 89 Uppsala, Sweden;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p19,Siamak Zohari,63,"Department of Microbiology, National Veterinary Institute, 751 89 Uppsala, Sweden",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p19,Maria No?remark ,60,"Department of Disease Control and Epidemiology, National Veterinary Institute, 751 89 Uppsala, Sweden",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p19,Henrik Uhlhorn,62,"Department of Pathology and Wildlife Diseases, National Veterinary Institute, 751 89 Uppsala, Sweden;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p19,DÇsirÇe S. Jansson,64,"Department of Animal Health and Antimicrobial Strategies, National Veterinary Institute,
751 89 Uppsala, Sweden",61,"Department of Clinical Sciences, Swedish University of Agricultural Sciences, 750 07 Uppsala, Sweden",yes,no,N/A,N/A,#VALUE!,
,,https://doi.org/10.1007/s11427-021-2025-y,p20,Pengfei Cui,65,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p20,Xianying Zeng,65,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p20,Xuyong Li,66,"College of Agronomy, Liaocheng University, Liaocheng 252000, China;",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p20,Yanbing Li,65,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p20,Jianzhong Shi,65,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p20,Conghui Zhao ,65,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Zhiyuan Qu ,65,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Yanwen Wang,66,"College of Agronomy, Liaocheng University, Liaocheng 252000, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Jing Guo,66,"College of Agronomy, Liaocheng University, Liaocheng 252000, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Wenli Gu ,65,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Qi Ma,66,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Yuancheng Zhang ,67,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Weipeng Lin,68,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Minghui Li,69,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Jingman Tian ,70,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Dongxue Wang,71,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Xin Xing ,72,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Yanjing Liu,73,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Shuxin Pan,74,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Yaping Zhang ,75,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Hongmei Bao ,76,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Liling Liu,77,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Guobin Tian,78,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Chengjun Li,65,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",67,Guangdong Laboratory for Lingnan Modern Agriculture,no,no,N/A,N/A,#VALUE!,
,,,p20,Guohua Deng ,65,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p20,Hualan Chen,65,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",67,Guangdong Laboratory for Lingnan Modern Agriculture,yes,no,N/A,N/A,#VALUE!,
,,doi:10.2903/sp.efsa.2022.EN-7762 ,p21,G. Gargallo,81,"Catalan Ornithological Institute, Barcelona, Spain",82,"EuroBirdPortal/EBCC, Barcelona, Spain",no,yes,N/A,N/A,#VALUE!,biohaw@efsa.europa.eu 
,,,p21, J.G. Davies,83,"BTO Scotland, Stirling, UK",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p21,C. Faverjon,84,"Ausvet Europe, Lyon, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p21,C. Kampichler,85,"Sovon, Dutch Centre for Field Ornithology, Nijmegen, Netherlands ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p21,S.R. Baillie,82,"EuroBirdPortal/EBCC, Barcelona, Spain",86,"BTO, Thetford, UK ",no,no,87,"EURING, Thetford, UK",#VALUE!,
,,,p21,A. Cameron ,84,"Ausvet Europe, Lyon, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p21,R.A. Robinson ,83,"BTO, Thetford, UK",87,"EURING, Thetford, UK",no,no,N/A,N/A,#VALUE!,
,,,p21,H. Sierdsema,85,"Sovon, Dutch Centre for Field Ornithology, Nijmegen, Netherlands",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p22,Isha Berry ,88,"Dalla Lana School of Public Health, University of Toronto, Toronto, ON, Canada",N/A,N/A,yes,yes,N/A,N/A,#VALUE!,
,,,p22,Mahbubur Rahman ,89,"Institute of Epidemiology, Disease Control and Research, Dhaka, Bangladesh",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p22,Meerjady Sabrina Flora ,89,"Institute of Epidemiology, Disease Control and Research, Dhaka, Bangladesh",90,"Ministry of Health and Family Welfare, Government of Bangladesh, Dhaka, Bangladesh ",no,no,N/A,N/A,#VALUE!,
,,,p22,Tahmina Shirin,89,"Institute of Epidemiology, Disease Control and Research, Dhaka, Bangladesh",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p22,A S M Alamgir,89,"Institute of Epidemiology, Disease Control and Research, Dhaka, Bangladesh",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p22,Manjur Hossain Khan,89,"Institute of Epidemiology, Disease Control and Research, Dhaka, Bangladesh",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p22,Rubaid Anwar ,89,"Institute of Epidemiology, Disease Control and Research, Dhaka, Bangladesh",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p22,Mona Lisa,89,"Institute of Epidemiology, Disease Control and Research, Dhaka, Bangladesh",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p22,Fahmida Chowdhury ,91,"International Centre for Diarrhoeal Disease Research, Bangladesh, Dhaka, Bangladesh",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p22,Md Ariful Islam ,91,"International Centre for Diarrhoeal Disease Research, Bangladesh, Dhaka, Bangladesh",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p22,Muzzafar G Osmani ,92,"Department of Livestock Services, Ministry of Fisheries and Livestock, Dhaka, Bangladesh ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p22,Stacie Dunkle,93,"Food and Agriculture Organization of the United Nations Emergency Center for Transboundary Animal Diseases, Dhaka, Bangladesh",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p22,Eric Brum ,93,"Food and Agriculture Organization of the United Nations Emergency Center for Transboundary Animal Diseases, Dhaka, Bangladesh",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p22,Amy L Greer,88,"Dalla Lana School of Public Health, University of Toronto, Toronto, ON, Canada",94,"Department of Population Medicine, Ontario Veterinary College, University of Guelph, Guelph, ON, Canada ",no,no,N/A,N/A,#VALUE!,
,,,p22,Shaun K Morris,88,"Dalla Lana School of Public Health, University of Toronto, Toronto, ON, Canada",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p22,Punam Mangtani,95,"Division of Infectious Diseases, Center for Global Child Health, and Child Health Evaluative Sciences, The Hospital for Sick Children, Toronto, ON, Canada",96,"London School of Hygiene & Tropical Medicine, London, UK ",no,no,N/A,N/A,#VALUE!,
,,,p22,David N Fisman ,88,"Dalla Lana School of Public Health, University of Toronto, Toronto, ON, Canada",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,DOI: 10.1111/tbed.14351,p23,Hao Tang ,97,"China Animal Health and Epidemiology
Centre, Qingdao, China",98,"School of Veterinary Medicine, Murdoch University, Perth, Australia ",yes,yes,N/A,N/A,#VALUE!,
,,,p23,Guillaume FourniÇ,99,"Royal Veterinary College, University of London, Hatfield, UK",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p23,Jinming Li ,97,"China Animal Health and Epidemiology
Centre, Qingdao, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p23,Lianbin Zou,100,"Guangxi Centre of Animal Disease Prevention and Control, Nanning, China ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p23,Chaojian Shen ,97,"China Animal Health and Epidemiology
Centre, Qingdao, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p23,Youming Wang ,97,"China Animal Health and Epidemiology
Centre, Qingdao, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p23,Chang Cai,101,"China Australia Joint Laboratory for Animal Health Big Data Analytics, College of Animal Science and Technology, Zhejiang Agricultural and Forestry University, Hangzhou, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p23,John Edwards,97,"China Animal Health and Epidemiology
Centre, Qingdao, China",98,"School of Veterinary Medicine, Murdoch University, Perth, Australia ",no,no,N/A,N/A,#VALUE!,
,,,p23,Ian D. Robertson,98,"School of Veterinary Medicine, Murdoch University, Perth, Australia ",102,"Hubei International Scientific and Technological Cooperation Base of Veterinary Epidemiology, Huazhong Agricultural University, Wuhan, China",no,no,N/A,N/A,#VALUE!,
,,,p23,Baoxu Huang,97,"China Animal Health and Epidemiology
Centre, Qingdao, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p23,Mieghan Bruce ,98,"School of Veterinary Medicine, Murdoch University, Perth, Australia",103,"Centre for Biosecurity and One Health, Harry Butler Institute, Murdoch University, Perth, Australia ",no,no,N/A,N/A,#VALUE!,
,,DOI: 10.1111/tbed.14722,p24,Se?bastien Lambert ,104,"IHAP, Universite? de Toulouse, INRAE, ENVT, Toulouse, France ",N/A,N/A,yes,yes,N/A,N/A,#VALUE!,
,,,p24,Benoit Durand ,105,"Agence Nationale de Se?curite? Sanitaire de l'Alimentation, de l'Environnement et du Travail, Universite? Paris-Est, Maisons-Alfort, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p24,Mathieu Andraud,106,"Agence Nationale de Se?curite? Sanitaire de l'Alimentation, de l'Environnement et du Travail, Ploufragan, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p24,Roxane Delacourt ,104,"IHAP, Universite? de Toulouse, INRAE, ENVT, Toulouse, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p24,Axelle Scoizec ,106,"Agence Nationale de Se?curite? Sanitaire de l'Alimentation, de l'Environnement et du Travail, Ploufragan, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p24,Sophie Le Bouquin,106,"Agence Nationale de Se?curite? Sanitaire de l'Alimentation, de l'Environnement et du Travail, Ploufragan, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p24,Se?verine Rauturea ,107,"Direction Ge?ne?rale de l'Alimentation, Paris, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p24,Billy Bauzile,104,"IHAP, Universite? de Toulouse, INRAE, ENVT, Toulouse, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p24,Claire Guinat,43,"Department of Biosystems Science and Engineering, ETH Zurich, Basel, Switzerland ",44,"Swiss Institute of Bioinformatics, Lausanne, Switzerland ",no,no,N/A,N/A,#VALUE!,
,,,p24,Lisa Fourtune ,104,"IHAP, Universite? de Toulouse, INRAE, ENVT, Toulouse, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p24,Jean-Luc Gue?rin ,104,"IHAP, Universite? de Toulouse, INRAE, ENVT, Toulouse, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p24,Mathilde C. Paul,104,"IHAP, Universite? de Toulouse, INRAE, ENVT, Toulouse, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p24,Timothe?e Vergne ,104,"IHAP, Universite? de Toulouse, INRAE, ENVT, Toulouse, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,DOI: 10.1002/eap.2906 ,p25,Cody M. Kent,110,"Department of Environmental Science and Technology, University of Maryland, College Park, Maryland, USA",111,"Department of Biology, Frostburg State University, Frostburg, Maryland, USA ",yes,yes,N/A,N/A,#VALUE!,
,,,p25,Sarah N. Bevins ,112,"US Department of Agriculture, Wildlife Services, National Wildlife Disease Program, Fort Collins, Colorado, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p25,Jennifer M. Mullinax,110,"Department of Environmental Science and Technology, University of Maryland, College Park, Maryland, USA ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p25,Jeffery D. Sulliva ,113,"US Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p25,Diann J. Prosser ,113,"US Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,https://doi.org/10.1155/2023/8499018 ,p26,Ariful Islam ,108,"EcoHealth Alliance, New York, NY 10018, USA",109,"Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin University, Geelong, Victoria,
VIC 3216, Australia",yes ,yes ,N/A,N/A,#VALUE!,
,,,p26,Tasnim Ara ,108,"EcoHealth Alliance, New York, NY 10018, USA",114,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka 1212, Bangladesh",no,no,N/A,N/A,#VALUE!,
,,,p26,Emama Amin ,108,"EcoHealth Alliance, New York, NY 10018, USA",114,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka 1212, Bangladesh",no,no,N/A,N/A,#VALUE!,
,,,p26,Shariful Islam,108,"EcoHealth Alliance, New York, NY 10018, USA",114,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka 1212, Bangladesh",no,no,N/A,N/A,#VALUE!,
,,,p26,Md. Abu Sayeed,108,"EcoHealth Alliance, New York, NY 10018, USA",114,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka 1212, Bangladesh",no,no,N/A,N/A,#VALUE!,
,,,p26,Tahmina Shirin ,114,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka 1212, Bangladesh",,,no,no,N/A,N/A,#VALUE!,
,,,p26,Mohammad Mahmudul Hassan ,115,"Queensland Alliance for One Health Sciences, School of Veterinary Science, Te University of Queensland, Brisbane,
QLD 4343, Australia",116,"Faculty of Veterinary Medicine, Chattogram Veterinary and Animal Sciences University, Chattogram 4225, Bangladesh ",no,no,N/A,N/A,#VALUE!,
,,,p26,Marcel Klaassen,109,"Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin University, Geelong, Victoria,
VIC 3216, Australia",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p26,Jonathan H. Epstein ,108,"EcoHealth Alliance, New York, NY 10018, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p27,Dae-sung Yoo ,48,"Animal and Plant Quarantine Agency, Gimcheon 39660, Korea",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p27,Sung-Il Kang,48,"Animal and Plant Quarantine Agency, Gimcheon 39660, Korea",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p27,Yu-Na Lee ,48,"Animal and Plant Quarantine Agency, Gimcheon 39660, Korea",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p27,Eun-Kyoung Lee ,117,"Honam National Institute of Biological Resources, Mokpo 58762, Korea",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p27,Youn-Jeong Lee ,48,"Animal and Plant Quarantine Agency, Gimcheon 39660, Korea",N/A,N/A,yes,no,N/A,N/A,#VALUE!,
,,,p28,Claire Guinat ,43,"Department of Biosystems Science and Engineering, ETH ZÅrich, 4058 Basel, Switzerland; ",44,"Swiss Institute of Bioinformatics, 1015 Lausanne, Switzerland",yes,yes,N/A,N/A,#VALUE!,
,,,p28,Hao Tang ,103,"Centre for Biosecurity and One Health, Harry Butler Institute, Murdoch University, Murdoch, WA 6150, Australia; ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p28,Qiqi Yang ,119,"Department of Ecology and Evolutionary Biology, Princeton University, Princeton, NJ 08544;",N/A,N/A,no,no,N/A,N/A,USA,
,,,p28,Cecilia Valenzuela Agu? ,43,"Department of Biosystems Science and Engineering, ETH ZÅrich, 4058 Basel, Switzerland; ",44,"Swiss Institute of Bioinformatics, 1015 Lausanne, Switzerland",no,no,N/A,N/A,Switzerland,
,,,p28,Timothy G. Vaughan,43,"Department of Biosystems Science and Engineering, ETH ZÅrich, 4058 Basel, Switzerland; ",44,"Swiss Institute of Bioinformatics, 1015 Lausanne, Switzerland",no,no,N/A,N/A,Switzerland,
,,,p28,Je?re?mie Scire ,43,"Department of Biosystems Science and Engineering, ETH ZÅrich, 4058 Basel, Switzerland; ",44,"Swiss Institute of Bioinformatics, 1015 Lausanne, Switzerland",no,no,N/A,N/A,Switzerland,
,,,p28,Hongjie Yu,122,"Key Laboratory of Public Health Safety, Ministry of Education, 
School of Public Health, Fudan University, 200032 Shanghai, China, ",N/A,N/A,no,no,N/A,N/A,China,
,,,p28,Wei Wang,122,"Key Laboratory of Public Health Safety, Ministry of Education, 
School of Public Health, Fudan University, 200032 Shanghai, China, ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p28,Zhiyuan Chen,122,"Key Laboratory of Public Health Safety, Ministry of Education, 
School of Public Health, Fudan University, 200032 Shanghai, China, ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p28,Mariette F. Ducatez ,121,"Unit of Host-Pathogens Interactions, University of Toulouse, National Research Institute for Agriculture, Food and the Environment, National Veterinary School of Toulouse, 31300 Toulouse, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p28,Tanja Stadler,43,"Department of Biosystems Science and Engineering, ETH ZÅrich, 4058 Basel, Switzerland; ",44,"Swiss Institute of Bioinformatics, 1015 Lausanne, Switzerland",no,no,N/A,N/A,#VALUE!,
,,,p31,Jacqueline King ,123,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",,,,,,,,
,,,p31,Christoph Staubach ,124,"Institute of Epidemiology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",,,,,,,,
,,,p31,Christiane Lu?der ,124,"Institute of Epidemiology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",,,,,,,,
